Title,Author,Date,Stars(out_of_10),Review,Sentiment_Score,Polarity
The Equalizer,abouhelier-r,2 October 2014,9,a man believes he has put his mysterious past behind him and has dedicated himself to beginning a new quiet life but when he meets a young prostitute under the control of ultra violent russian gangsters he cant stand idly by he has to help her the equalizer is directed by antoine fuqua and stars denzel washington direction of this movie was discussed for a long time indeed it had been told that nicolas winding refn was first approach which i can perfectly understand as there are some refn violent scenes brand throughout the film i love denzel washington he could make a movie about a man sitting on a toilet for the entire movie ant it would be a good thing to watch however this film is a little bit more violent than just a man sitting on a toilet more exciting as well and denzel washington is the one thing that carries this movie along from the beginning to the end and gives it the credibility it deserves i really enjoyed the movie on the one hand because denzel washington sells every scenes hes in he makes the over the top violent nature of this movie fun and more acceptable and on the other hand thanks to marton csokas playing a pretty strong villain seeing them both interact is one of my favourite part of this movie my favourite scene is in fact both of them having a pretty deep and serious conversation in a restaurant this movie is violent which can turn off some people i have to admit that some violence may be over the top and unnecessary sometimes as well as some side plots for instance chloë grace moretz character bring him back into this world and totally disappear for the whole movie as an older bad ass character denzel washington is extremely compelling and endlessly watchable but i was expecting to learn a little bit more about him though i like roles like this played by actors like him or liam neeson as well they are good and smart nothing about those guys is uncool finally the equalizer is totally aware of itself there is no deeper meaning no oscars nomination pretending this movie knows what it is it knows what it wants to do and does it thats all overall the equalizer is really entertaining i loved it the action is good denzel washington is great the villain is strong but the story has some holes in it,0.9981,1
Is he stronger than superman?,oliverricard,27 September 2021,6,yes he is a semigod on earth he can kill what he wants with a spoon and a tomato nevertheless an amusing movie partly because of this aurea of indestructibility,-0.1027,0
Equalizer,hayyurafi-steel-164-442781,20 November 2014,10,this movie is a movie with the best black players that i have ever seen other than that this movie can inspire everyone that the position was very similar and we all should not discriminate between people this movie players that denzel washington has inspired me in the world of cinema this movie is very memorable for me i really appreciate the filmfor me this film as a crunchy snack once and shall at all to watch especially for adolescents and adults dazzling action and extraordinary in my opinion is very great and can hypnotize all audiences this is one of the greatest action movies i have ever seen in the world of international cinema i think thats it that can be an inspiration for all the audience and continued success for the world of cinema world,0.9846,1
Denzell is one of the best actors in Hollywood,Diablo1616,24 March 2020,7,the movie was amazing and will probably stay as one of my fav action movies ever and to make matters even better denzel washington is the movie and his performance in the movie was impecable and so was the main antigonist performance the action was well layed out and sought through although there are some scene kinda get me boring but the story and emotion put into this movie is just great and the music in this movie are amazing i even downloaded some of them on my phone so i could remember how it feels to be a badass like denzel and the final fight of the movie where denzel faces off against marton and his gang in the super market was if not my fav scene of all time and the way denzel finishes off marton was just soo badass and sick when i heard they were making a sequel i was the happiest man alive and when i watched it i had the same amazing feeling as when i watched the first one my honest opinion would be something like or but i just love this movie soo much i have to give it a,0.9945,1
The Best Action Movie of the Year and One of Denzel's all time best!!,mmjnr10-71-780778,25 September 2014,10,i had the chance to watch this this movie today on its opening night here in dubai and i intended not to check out either its ratings on imdb nor watch the trailer or even get to know the plot summary i just went in there with no prejudice hoping that denzel washington will deliver a decent movie as he usually does and make up my mind on it without any influence by rating or user reviews and to my amazement and amusement i got much more than what i bargained for in fact i was in front one of denzel washington best and most memorable movies of his entire illustrious career especially on the action side this movie easily compete with some of his finest including training day and man on fire and to me it was better than both you see if you tell the story line to anyone he would easily say been there done that yet a great film doesnt necessarily have a unique story line even the simplest of stories can create a blockbuster depending on how good the story is and how it was made here the story deliver the ultimate fight between good and pure dark evil and again it is almost a mission impossible with one guy fighting an entire special forces army so throughout the movie you are guessing what will happen next yet as any good memorable movie this one is not all about fight scenes which are extra ordinarily done by the way and more real and dark than any of your average action movies nowadays yet the good about this movie is the drama and act part are simply exquisite with some really memorable scenes and lines by danzel and the crew thats why may be some people felt it slow at times as they may be came in only for the action yet if it was all action then may be you aught to watch a bruce willis action flick instead for if it was just a continuous shallow fight scenes it will easily loose its depth and turn into a comic show rather than a good movie this movie is an epic action movie that i believe in a few years from now shall be more appreciated than it is today because people sometimes dont acknowledge how good a movie is until they hear more about it and probably watch more times to sink in this movie puts denzel washington character in the ultimate test with him taking on an entire ruthless russian mafia mob with all their power and influence and with a super bad guy adversary played by the dark and sinister looking marton cokas who was excellent in his rule and provided that ultimate adversary atmosphere that is one of the most vital elements of a good action movie just like it was the case in james bond movie casino royale here again we get the same level bad guy if not more dark and sinister i recommend this movie to everyone out there want to see an epic action movie that delivers to every sense of the word and im not who could be easily convinced with good action no matter how big and famous the cast were so here my evaluation has nothing to do with danzel washington being in the lead role yet he fits it perfect and deliver one of his best movies to date,0.9936,1
Denzel has the moves!,sue-06239,6 March 2021,7,an early scene in the workplace where denzel claims to have been one of gladys knights pips shows hes got the moves and is great fun he is really good in this as a calm but completely badass lead but i want to give due credit to mr csokas for bringing us such a watchable and charismatic villain great performance,0.866,1
Another Hit By the Denzel Washington/Antoine Fuqua Dynamic Duo,TheBrewBuzz,2 October 2014,10,the equalizer is the latest film by acclaimed director antoine fuqua now i feel a little embarrassed not knowing this directors name by heart because he has quite a few very respectable films under his belt if you also do not recognize the name of this extremely talented director let me shed a little light this guy is responsible for training day tears of the sun king arthur and of course the movie in discussion the equalizer satisfies in all the ways his other great films do but the directing talent is just one factor that makes this movie so great a movie can have a superb story amazing cinematography and mesmerizing writing as well as directing but without the talent to deliver it all it finds itself lacking this is where the gifted cast comes in notably the star of this film denzel washington denzel washington is so talented he just makes almost every film he touches a hit his performance in the equalizer is no exception i often think about these great veteran actors and actresses who just refuse to pass their prime a lot of these performers are getting a little seasoned and makes me wonder if they can still pull off a great movie especially an action one actors like liam neeson sylvester stallone and bruce willis are some to name a few however they refuse to be outperformed by some of these younger actors and far surpass them in authentic entertainment denzel washington is one such talent the equalizer is about a man with a mysterious past named robert mccall denzel washington robert mccall is a kind man who is extremely tidy and lives according to schedule he works at a hardware store and is respected in his workplace he gives a helping hand to those in need and encourages them the buildup of this character makes the audience automatically like him he is a person everyone wants to know and a friend everyone wants to have as i said he is extremely likable however as with most interesting characters he has an unknown and mysterious past i am not going to spoil anything but lets just say this guy can hold his own almost any situation robert mccall finds himself unable to sleep most nights and befriends a young prostitute named teri chloë grace moretz whom he meets at a late night diner basically the plot unfolds when teri finds herself in distress and robert mccall finds himself reluctantly resurfacing a former skill he vowed to never perform again to help her this causes a chain reaction of hostile events to unfold forcing mccall back into a life he thought was behind him the villain in this film is teddy marton csokas i have to say i was pretty impressed with this character he just made a great villain marton csokas has come a long way since his role as yorgi in xxx i was very impressed with the progression in his acting abilities his performance was another key factor in the success of this film so my verdict for the equalizer is definitely two thumbs way up this is all around a very entertaining film the story is great and builds a strong foundation for the characters the action and fight scenes are choreographed nicely the acting talent really draws the audience in and the directing is very commendable in short the equalizer leaves the audience fully satisfied and wanting for nothing i encourage everyone to see this movie i really enjoyed it and know most of you will also until next wednesday i wish you all great cinematic experiences read more of my reviews at thebrewbuzzcom,0.9993,1
Fun time,eoinpgeary,18 April 2023,7,yea i liked it i heard there was a third so i said i may aswell give them a go and i enjoyed myself pretty basic story of a man helping a girl in the wrong profession and things escalate as there is more than meets the eye i think denzel elevated the movie his character was good we didnt get absolutely loads to him but it was enjoyable it felt more like movie over action which can be good yes i would have liked a tad more action but it was all enjoyable i wouldnt rave about it its decent and if you are looking for action packed i would pick john wick over this not comparing both very different looking forward to the second one i give this a,0.982,1
Comedy of the year!,aklimis,27 September 2014,1,alright so i was dragged to imax and had to pay pounds to watch over two hours of headacheinducing visualsound effects ridiculously unrealistic characters logical inconsistencies and a shameless glorification of gore violence if you want to use far fetched gore scenes then at least have a plot that can back them up so its a huh anyone praising this film is either under years old or completely out of his mind wont be watching any denzel washington flicks anytime soon shame on a socalled established actor for taking part in such an atrocity i would give it a zero out seems that imdb doesnt have such an option tho,-0.6222,0
The Equalizer,Falko_h1,12 May 2024,7,in the equalizer denzel washington once again proves why hes one of the most compelling actors of his generation directed by antoine fuqua this actionpacked thriller is a gripping adaptation of the television series infusing it with modern sensibilities and a hefty dose of denzels trademark intensity the supporting cast also delivers solid performances with chloë grace moretz bringing vulnerability and depth to her role as teri their chemistry is palpable lending emotional weight to their scenes together marton csokas deserves praise for his portrayal of the chillingly menacing villain teddy his portrayal is suitably menacing serving as a formidable foil to mccalls relentless pursuit of justice director antoine fuqua infuses the film with a gritty and atmospheric aesthetic capturing the dark underbelly of boston with a keen eye for detail the action sequences are expertly choreographed and executed showcasing mccalls lethal skills with visceral intensity from brutal handtohand combat to tense standoffs each encounter is pulsepounding and adrenalinefueled keeping audiences on the edge of their seats where the equalizer truly shines is in its exploration of moral ambiguity and the nature of justice mccalls actions blur the lines between heroism and vigilantism raising thoughtprovoking questions about the nature of right and wrong as he confronts corruption and injustice he is forced to confront his own past and the demons that haunt him however the film is not without its flaws at times the pacing feels uneven with certain scenes dragging on longer than necessary additionally some plot points feel predictable robbing the narrative of some of its tension and suspense despite these shortcomings the equalizer remains a thrilling and engaging ride from start to finish in conclusion the equalizer is a captivating thriller anchored by denzel washingtons powerhouse performance with its gripping action sequences compelling characters and thoughtprovoking themes its a worthy addition to the genre while it may not reinvent the wheel it delivers exactly what it promises a pulsepounding edgeofyourseat experience that will leave audiences craving more for fans of action cinema and denzel washington alike the equalizer is not to be missed,0.941,1
Better than I had expected,bugus92,11 December 2014,8,my expectation were not high when i began watching this movie mostly due to the fact that there are a dozen movies like this out there with similar russian mob clichés but i am a huge denzel fan and i must admit that there is a part of me that enjoys watching people get brutally punished for their sins this movie made me feel happy happy that justice exists at least in the movies it gives me a break from the harsh realities of life and how helpless we are when it comes to crime syndicates i enjoyed this movie more than i had expected particularly the music which just seemed very dark and appropriate every man has a sadist hidden deep inside of him and since we live in a civilized society take out your frustrations by watching this movie it worked for me it should work for you,0.3291,1
Decent but failed to live up to its potential.,Bruce722,24 October 2015,6,i had high hopes for this movie and while it largely lived up to them i felt there were some glaring flaws that couldve easily been avoided which wouldve resulted in a superior film for one antoine fuqua did a mediocre job with the directing role it almost felt like he had never directed a film in his entire life found a list of all the cool camera tricks angles and cinematic effects and felt compelled to include each and every one of them how did this impact the movie it made it seem as though it lacked any identity whatsoever secondly there is a critical moment in the final major conflict resolution that is just terrible to avoid spoilers lets just say that the protagonist that had been established throughout the film makes a decision that he would never make that combined with the plot getting a little out of hand made the last quarter or so of the movie hard to swallow it wasnt all bad however as the rating should reflect the acting was great and fighting sequences were done incredibly well the build up and initial character and plot development were fantastic too unfortunately this film suffered from having a director who wanted to do everything instead of making a great movie,0.9201,1
One of My favorite movie ( A+ Movie) My Ratings 10/10,THE-BEACON-OF-MOVIES-RAFA,11 February 2020,10,strengths the combination of antoine fuqua and denzel washington robert mccall is one that always works they bring out the best in each other while this isnt one of denzels greatest acting jobs he does way more with the role than youd expect the movie does a good job of showcasing how nice of a guy mccall is which makes his violent outbursts way more interesting the action scenes are well handled i loved the way mccall would see things in slow motion before acting them out they hold nothing back in terms of violence making sure each scene looks as brutal as it needs to be and thanks to the tension built up by fuqua,0.9392,1
Great Performance By Denzel Washington.,bongy-35412,20 March 2019,7,you can notice several things in this scene when mccall start analyzing the area first thing he notices is that the thug thumbs back the hammer he also notices the thugs eyes are unwavering and are at a fixed point that shows that the thug wasnt bluffing and he had the intention of killing the woman for the ring he also notices the tattoos on the thugs hand and neck indicating that hes a part or was a part of the aryan brotherhood and is likely done prison time increasing the chances that he wouldnt hesitate to kill the woman after that mccall is weighing his options he could kill the man in seconds and be done with it but there was the risk of the woman being killed in the struggle and as soon as the child walked in he realized that there was even a higher risk of not only the woman getting killed but also more innocent bystanders he figured the best bet was to let the man get away with the money in the ring and then deal with him later i love the way those scenes are shot no words need to be spoken its all done visually,-0.6824,0
Good action movie with story.,saptesh786,9 October 2020,9,it is a good action movie with strong story actions are classic and believable not foolish or unrealistic like in many action movies denzel washington is perfect in his role his electrifying actions really impressed me mostly silent but sharp and smart mind proper guidance and ever help behave to anyone those are characteristic of denzels role is inspirable only complaint about we do not know his past very well if director give some glimpse then it would be more better the fight between smart and dangerous bad men and clever sharp minded hero is perfectly enjoyable for every action lovers almost all characters are perfect in their roles must watch,0.9915,1
A brutal retelling of a class TV series not that thats a bad thing,InMyHonestOpinion,8 January 2015,7,the equalizer when i was a younger boy one of my favourite shows to watch was the equalizer edward woodward starred ion the s tv show which i absolutely loved now when i heard it was being remade at first i was pretty excited all these actors who could i envisioned living up the mastery of robert mccall but when i seen denzel washington my first thought was wtf i was horrified how and why why would they do that sure denzel was great in man on fire and pretty much exactly what a real life robert mccall would be so its taken me a while to sit and watch this one just for the simple fact i wasnt happy with the casting choice and couldnt see justice being carried out i didnt want my childhood ruined robert mccall is a solitary man a man who has routines and runs his life by them robert mccall also has a secret one that only the closet to him will ever know every night robert takes his tea bag wrapped in a cotton napkin and walks to his local diner where he always sits at the same table always places his book in the same position always arranges the cutlery the same way every night without fail he will be there over time he has formed a simple relationship with a young russian singer songwriter who also frequents the diner and has her own secrets by day robert works in the local diy store serving his customers the best he can one thing you dont want to do though is pss robert off and you really dont want to hurt his friends the equalizer is a brutal film its hard core no holds barred action sequences will be enough to force a lot of viewers watching the scenes play out through their fingers robert mccall is unforgiving he is a character who sizes up a person and a room in matter of seconds i will admit denzel washington man on fire fallen who plays robert mccall was actually great as the man he recreated and i didnt despise him as much as i thought i would i would even go as far as saying perhaps its better to watch this remake of the tv series with a fresh set of eyes denzel does his best to make robert mccall his own and really does it well antoine fuqua olympus has fallen training day really has made a name for himself as a director with his own style as far as action films go i think he has a great eye for detail he knows what is needed to make the scene perfect greatest thing going for him is he likes his viewers to see what is going on in the action sequences something a lot of directors have forgotten the film also stars chloë grace moretz kick as hugo as teri and marton csokas who is actually quite unforgettable in his role as terry the equalizer will leave you wondering at first where its going as the beginning is quite slow but once the action picks up it leaves you wanting more my only critique would be the few plot holes that are very apparent as the film plays out its not a game changer as anything can be forgiven if given a chance,0.995,1
Completely astonished how good this film is...,InnerWisdom1000,17 September 2023,10,i only watched this film for the first time today like everything i watch i never have expectations as that opens one up to disappointment but if i had i would have presumed it to be a good film and help pass a nice evening i would have been wrong the script here is nothing new we have all seen likewise before but this was far more compact and loved the overt good versus evil messages throughout denzel washington clearly shone and carried this film but all others for me gave fine performances it was the direction that was the standout for me the attention to detail given to scene after scene was a sheer pleasure that most directors seem incapable of reproducing let alone exceeding the music score was a superb accompaniment to the stellar film direction and never felt invasive if only we had more equalizers to spread this kindness and eliminate the pieces of evil who so despairingly contribute to destroying the world we live in if only,0.8485,1
A tad too over the top,nealkattman,19 July 2018,7,there is no bigger fan of denzel washington than yours truly dude is just great at his job when a persons chosen profession is to portray other people than yourself its going to require a lot of studying or maybe just a lot of common sense i think almost anyone with enough nerve can probably do some acting all you have to do is watch how other folks do things in normal circumstances and imitate them yeah right denzel does every personality known to man in the most convincing way from the super dork to the cerebral peace keeper to the slightly deranged family man to the lovingly hateful detective i like real stuff in movies the kind of thing that is actually possible for me or someone i know to witness on a given day the one man army kinda movie is not really in that realm i mean does anyone actually have an affiliation with a person like this please tell me where these people live hollywood has always done a good job of making marvel comic heros seem to be normal they make gotham city and metropolis look like everyday cities that just happen to have a dude in tights flying around saving days like kids save baseball cards but i believe this should type of movie has its place a place for anyone other than dw i dont know i just think hes above this kids stuff stuff that just cannot happen,0.9549,1
Black Rambo in a mall,potrik_voznik,12 January 2016,2,the movie started pretty good thats why its getting the extra star but i swear i was laughing when it finished the best part was when robert mccall denzel washington killed the russian mob with that nailing machine and turned around and left when ralfie was shot twice and scared to death in the control room meters away hahahaha awesome robert i can not even say until what point i was enjoying the movie it gradually went down until i was not taking it seriously any more i liked his skills in this kind of action movies we usually like when the guy knows what is he doing like liam neeson in taken or matt damon as jason bourne may be denzel was actually too good kinda analytical almost a superhero he could be one of the avengers if he would have batman gadgets he would beat batman i definitely didnt like how overloaded he was of all the stuff a guy who has been living a peaceful life for years and suddenly the girl and the russian mafia ralfies mom and the corrupt cops and the robber in the mall who he had to find somehow this is like when a random guy gets bit by a spider and becomes spiderman and suddenly all around is crime come onthe girl and the russian mafia was totally enough to make a story now the russian mafia when you watch a documentary about them they look like more scary and more smart so to go to see one of the mobs you have to go through a room where chinese people are counting tones of russian corrupt money are you serious and this guy gets in there and walk seeing all of this with no problem thanks director for not making him go there with a go pro hero camera with a selfie stick then this mall situation you know when someone gets trapped in the cleaning room and makes a bomb with the cleaning products and remember when rambo prepares all this traps and things in the jungle this two things mixed in one in a mall where he has got everything he needs such a stupid idea first of all i dont understand why would he go there without a gun but ok but why wouldnt he take any of the guns of all this people he kills instead he gets this nailing machine and you see denzel in slow motion cocking a nailing machine the only thing missing was the name bosch on the side of the it ridiculous to sum up in two words bad movie,0.3046,1
Formulaic but decent,gilesadhamilton,12 December 2021,7,formulaic actioner set apart by the reliable denzil as a retired spook with superhuman powers implausible but passes the time agreeably poor shoot out cliche ending prevents an rating,-0.5267,0
Best Black Action Star,maglulu,2 September 2023,10,the movie was amazing and will probably stay as one of my favorite action movies ever and to make matters even better denzel washington is the movie and his performance in the movie was impecable and so was the main antigonist performance this felt like a complete movie a complete action movie that was fully developed in terms of plot characters action and almost everything it had to offer the equalizer is a remarkable action masterpiece denzel washington isnt just a great actor hes also one of the top action stars of hollywood as a killing machine who is equally disciplined and caring his performance is a sight to behold every other cast member has given possibly their best,0.9662,1
"Good movie, could have been better",UsernameHype,17 July 2015,7,older black john wick does good things for people as the antagonist from xxx hunts him down in all seriousness the equalizer has some good action good cinematography at times and it was entertaining i marked it down because some of the dialog is not delivered great and the story was a little generic and predictable the way john wick handles it by not screwing around with a story and just getting right into was the way it should be done the story of this felt like it was trying to give him a purpose to do these things when you could have just done them from one incident it also tries to tell you why he got out of the businesses they give you his whole backstory john wick implies it which it great it leaves some mystery overall good movie but john wick did it better i wont be buying it but will probably watch it a second or third time if nicolas winding refn would have stayed and directed it it would have been great,0.4401,1
Surprisingly very watchable. Denzil is on top form.,kindofblue-78221,4 January 2022,9,i expected little from this but for so much i remember the original uk series that wasnt exactly anything but corny and clichéd denzils version is way better and much more professional the fighting is way better than in john wick overall this is a very good film denzil is excellent as ever and leaves his indelible stamp on the film and countless baddies,0.9541,1
Good rent at redbox,gianlucamarzano16,19 January 2015,6,the equalizer is about robert mccalldenzel washington a man with a mysterious past trying to stay a quiet life but when he meets terichloë grace moretz she gets in trouble with some russian gangster and robert will now use his skills he had in the past to stop them first off the equalizer is an action movie but when theres not action its very slow pace the story is okay theres a sub plot that very doesnt need to be in the story but oh well when there is action it delivers denzel washington is always great as an action star the bad guys in this movie are so plain we have seen this so many times before when will we have a great villain overall the equalizer was an okay movie with a weak story but did have some great action scenes its a good rent at redbox,0.9186,1
"I can't believe I waited so long... Epic. Just, epic.",TheMaximalApex,28 July 2023,10,i actually thought i had seen this although when trying to recall the plot i could not unusual for me with a denzel film as i always enjoy seeing him on screen i once owned a gen monte carlo because i love training day so much i pressed play on the equalizer expecting to be entertained i was glued to my seat the entire way through denzel is at his best here and does so much by doing so little the subtleties in his acting are sublime he really made me believe this character could do anything the way it played out at the start made me think it was going to be pretty good if perhaps a little average i like that especially when it just gets better and better and is so well layered fantastic character development without giving too much away and keeping the viewer guessing just enough perfectly paced structured filmed and the whole atmosphere is just a joy to behold i particularly liked the audio as this is at least as action movies go a rather quiet one the look and feel on screen is fantastic and the audio adds so much to the ambience i highly recommend giving the equalizer a watch especially if you enjoy other films with denzel washington you will definitely be entertained and i hope you enjoy it as much as i did,0.9966,1
It's a good movie,TerminatorHD,2 July 2021,7,in my opinion this is a good movie it start peacefully and ends very bloody your time is well spend with this one recommended,0.719,1
One of the best action movies ever made. Period.,adwaidhrupendra,26 November 2018,9,i love smart moviemaking where the film doesnt spoon feed you everything and instead respects its audienceviewers to fill in the missing blanks another great example is mad max fury road this movie starts slow with an intentionally boring life of an ordinary man then ramps it up to true badassery when the time comes the optimal use of theme music and external tracks makes me get goosebumps every single time oh and ive only seen guys who can act incredibly without acting with a poker face one is bill murray the other one is denzel washington ps i love john wick but this movie outperforms it in every way possible except for maybe keanu reaves,0.7351,1
Did not feeled like a new modern action flick,dragunov-52990,25 April 2018,6,i consider this movie to be an attempt of comparing with john wick im not saying that im a fan of john wick but the equalizer was not that hitman action movie that i wanted to see i feeled like inwas watching the transporter but instead of jason statham was denzel washington the begining of the movie went slow very slow the the action began for a short moment and it was impressive i dont really know what happened but the ending wasnt as i expected or thought it was boring and too long its true that a hitman should kill without making noise or by engaging in gun fight only if necesarry but this one was a bit boring oh and the russian mafia cliche is getting kinda old,-0.5859,0
I miss Arnie...,trans_mauro,13 December 2014,1,this is one of the dumbest films ive watched this year danzel seems to be one of those actors who accept any role as long as the pay check is decent the equalizer is your typical runofthemill fullofclichés vengeance film a superultra blackops or whatever comes out of retirement to rescue a young prostitute with a heart of gold the point is that the films is a succession of a violent scenes and a hero who is as convincing as snow in july in lano plot or better plot holes the size of texas the whole things become tedious pretty fast at least schwarzeneggers films had some humor they were dumb but were fun to watch this one is another waste of time,0.7096,1
**1/2,edwagreen,6 October 2015,6,one thing that remains constant in this action packed thriller denzel washingtons mysterious former life remains just that throughout the movie what organization did he work for who were these two people from the group that we briefly see settling down to a quiet life following his wifes passing that is all upset when he meets a russian girl most likely a hooker who is being harassed by her russian gangster mates the rest of the film is devoted to denzel assuming a rambo role and killing the first group which sends others after him all we then see are violent horrible ways that denzel kills his prey,-0.9601,0
An excellent Denzel and Antoine film!,UniqueParticle,30 July 2023,8,been awhile since i have seen i forgot how great this is and i enjoy chloe grace moretz quite a bit robert mccal is a magnificent man that you dont mess with originally he had no backstory and denzel adds great subtle personality traits that mash in perfectly to an action character i figured id catch up for the equalizer coming out soon i really enjoy the flow of directing antoine has done mixed projects some are much better than others like this one is very satisfying crimeaction extravaganza holy cow the action is brutally great i cant decide if i like the first or one more they both are thoroughly entertaining,0.9905,1
I expected more but still good,Luigi Di Pilla,19 July 2015,6,when i heard positive reviews from friends i decided to buy on dvd i expected more but i was not disappointed anymore what i missed was a faster pace with much more suspense it works anyway as a solid action thriller this could be even a promising franchise for the future i can imagine a sequel because it lets some potential story development denzel washington came great here and was very cool the action and execution details were well studied but be warned there are some brutal and bloody scenes i liked the clear message in this movie for peace and not to abuse minor teenagers for fans of denzel washington this is a must see if you like this genre i recommend all taken series my rating,0.9865,1
Denzel Washington really makes the movie work.,disnotbetty-10195,21 August 2023,9,robert mccall is a retired cia agent one of their best assassins but he has left all that behind and has settled into a quiet life in boston working a to job at a hardware store but when a russian teen escort he has befriended is almost beaten to death by a russian pimp mccall rethinks retirement and goes after him and and his bodyguards what follows is a tarantinostyled bloody oneman slaughter i promised that i would never go back to being that person but when somebody does something unspeakable you do something about it cause you can mccall well word reaches moscow and the powerful mob kingpin pushkin and pushkin is not happy he funds everything gasoline weapons girls you name it hes built an intricate network on both u s coasts that are incredibly wellinsulated his money and political ties make him untouchable susan plummer so pushkin sends his very own top terminator teddy nicolai itchenko to fix the company problem in boston basically hes a sociopath with a business card susan plummer with half of the boston pd on pushkins payroll teddy has no problem finding mccall but mccall goes to teddy and gives him a warning ive done some bad things in my life nicolai things im not proud of i promised someone i love very much that i would never go back to being that person but for you ill make an exception mccall although this is more of a liam neeson style character and story denzel washington really makes it work what do you see when you look at me mccall well i did not see denzel washington in a movie like this he literally goes from a quite and meek book geek to a brutal and bloody merciless killing machine and i totally believe it much more so than i expected cast denzel washington marton csokas david harbour bill pullman melissa leo chloë grace moretz,-0.9846,0
Bang Crash Boom They're all dead,mmunier,17 November 2016,None,i usually dont mind denzel and was looking forward to see this movie slightly intriguing at first although somehow already predictable and then it became so tedious like if it was superman with a magic wand there was some good effort with mood music and sound but at times it was out of synch with the action or rather the lack of it i think i could have watch it in ff one step and save time for the same result i think such a shame to waste good actors for me one good actor for such a flat story wow i need more line i thought i said enough and i have nothing more to say about this film i found so bad and a waste of my time,0.4592,1
Tak3n?,chisoxrock1344,28 September 2014,6,the third taken film is not expected to be released until early but it seems as though it came early this time however starring denzel washington consider the many many eerie similarities the equalizer shares with the first film of the soon to be trilogy both films involve foreign villains ex government agents played by two badass actors liam neeson and denzel washington and a young vulnerable girl the negative side of all of this is that i wanted something much different the taken producers are already out their minds for making a third film unlike equalizer however taken has an actual story in taken the audience gets to experience more of a thrill ride because there were more variables to get our panties moist for example bryan mills neeson has no idea where his daughter is so he must start with minimal evidence to begin his search and the entire search process becomes gripping robert mccall washington on the other hand knows exactly where his nemeses are located so it eliminates a very entertaining component it also never comes full circle now i am not saying i need a movie to be this whole heart dropping experience but it needs to have a point and ocd a photographic memory and an internet forum that allows people to reach out to him for help is not having a point so unfortunately the equalizer turns out to simply be a film about a man trapping and killing evil men,-0.9582,0
Everything John Wick wanted to be.,douggie90,29 November 2018,8,guess which movie im describing a retired hitman agent is pulled back into buttkicking mode because the russian mafia messed with something he cared about john wick the equalizer answer yes the difference is the equalizer really just towers over wick as a film full disclosure i appreciaed the cinematography of wick and saw what it was going for but felt the whole film was flat and gimmicky more than the cool and flashy film it was going for not all would agree with me where the equalizer beats john wick is that equalizer weaves a story and plotline that is actually engaging featuring characters that you care about theres the human element to the equalizer that wick just missed denzel washington is about the best at his craft and he shines at translating human emotions through his character onto the screen further there was a redeeming aspect to the story with a guiding noble cause that excused this film from being just another actionthrilller filled with senseless violence the action sequences while not as flashy as wick were delivered with more meaning wick suffered from losing impact through running a continuous loop of action sequences that all started to blend together the equalizer took care to mind the pacing and rhythm of the story interweaving action and downtime for plot and character development the story telling was direct enough to not be confusing but left enough up to the imagination to avoid being boring for example it was never spelledout what washingtons character did for a living prior to working at the hardware store there were some interesting mcguyveresque being resourceful with your environment elements to the action that was refreshing in comparison to the heaps of cliche action films where gunplay martial arts are the only vehicles for kills the cinematography was flawless and ventured into some creative shots and techniques the big climactic ending entailed some dazzling filming involving some artful use of lighting and rain that filmwork alone is worth the watch the main antagonist did seem to be going for a very kevin spacey vibe in looks and persona the casting almost was a doppleganger for spacey i have to wonder if they missed an attempt at getting spacey for the role i felt on that front it felt that character a bit forced and cliche my apologies if this review came off as more a comparison but the two films are just so similar on the surface and in my opinion the equalizer was a superior film in almost every way,0.717,1
Entertaining movie,agmoldham,12 October 2014,6,in common with a lot of hollywood features i have to confess i preferred the first half of this movie to the second half the first half of the movie is very much character driven and focuses on the relationship between robert mccall denzel washington and teri chloë grace moretz mccall is a man leading an ordinary life and getting away from the extraordinary talents from his earlier life he befriends a prostitute teri who is stuck in her situation despite dreams of being a singer this part of the movie is extremely engaging and that certainly helps when the movie moves to a more action based focus the second part of the movie is also pretty good although theres very little of the dialogue that makes the first hour so enjoyable well worth a watch,0.9706,1
Great action vehicle for Denzil,jordondave-28085,27 February 2023,8,action despite its hours and minutes the movie didnt feel long at all inspired by the popular television series from the s you might say this could be the new and improved version since in this variation he actually kills people for a change which tv syndicate at one time always tried to avoid until hbo started helming their own programs on the first half hour or so we see robert mccall denzil washington also credited as producer as a regular blue collar worker working as security in a hard ware store that operates like a costco robert is not like other people since it appears he has a mental disorder that he has a knack for noticing small obstacles placed around him and the director seems to point that out to the audience by using close ups of objects robert notices there seems to be a diner that he regularly eats in after work and he also seems to notice other patrons who eat there as well particularly teri the young teenage escort played by chloe grace moretz who wants to become a singer by the time robert notices her not stopping by the diner one day he feels obligated to investigate and it is during then we get to see that robert is not just any other person although i notice some of the movie inspirations the real question is what are you going to do with them some of the ones i managed to pick up is taxi driver because of chloe grace moretz playing an underage prostitute who acts like the jodie foster character the jason bourne movies because of the quick action sequences and days later because of the end musical score hype was similarly different its a reminiscent of action movies from the s and s that doesnt need cgi to make it entertaining,0.9762,1
